	x	y
SAAM-1983.90.223_1	0.6936214	0.05418217
SAAM-1988.44_1	0.70576334	0.34838617
SAAM-1985.66.335-U_1	0.70690584	0.8598391
SAAM-1962.13.27_1	0.2175473	0.7429093
SAAM-1973.133.1_1	0.8266531	0.58434427
SAAM-1928.7.1_2	0.95100915	0.5578691
SAAM-1909.7.74_1	0.6541976	0.06156087
SAAM-1974.69.22_1	0.36586154	0.15598118
SAAM-1970.12_1	0.67816305	0.7439729
SAAM-1974.28.97_1	0.34774137	0.45087087
SAAM-1985.66.590-U_1-000001	0.7202115	0.87861335
SAAM-1921.1.3_1	0.29359508	0.17081082
SAAM-1992.35_1	0.7409705	0.06365168
SAAM-1983.95.157_1	0.85692275	0.49801362
SAAM-1963.13_1	0.23626995	0.5940441
SAAM-1985.66.397_1	0.80080914	0.77758586
SAAM-1985.66.402_1	0.8406441	0.7260033
SAAM-1964.1.176_1	0.88384485	0.6334373
SAAM-1926.6.9_1	0.3346156	0.13013387
SAAM-1923.8.2_2	0.7673694	0.025617003
SAAM-1983.95.64_2	0.82771647	0.23504698
SAAM-1929.6.104_1	0.7900102	0.122504234
SAAM-1912.3.3_1	0.3662114	0.18310583
SAAM-1976.30_1	0.7718886	0.24456751
SAAM-1968.120.2_1	0.64602935	0.05746734
SAAM-1916.6.50_1	0.15098643	0.452623
SAAM-1983.95.89_2	0.90540147	0.13580275
SAAM-1983.95.147_2	0.9001504	0.4266547
SAAM-1983.95.133_1	0.5754496	0.12620687
SAAM-1984.147_1	0.689221	0.06676471
SAAM-1950.2.25B_1	0.37250793	0.9495219
SAAM-1983.83.285_1	0.31209838	0.7533194
SAAM-1983.83.275_1	0.70996094	0.51317585
SAAM-1944.11.1_1	0.95488	0.6072911
SAAM-1962.4.14_1	0.5537025	0.34844887
SAAM-1927.5.2_1	0.28517604	0.7190474
SAAM-1974.69.17_1	0.41501367	0.080433965
SAAM-1970.184_1	0.3793559	0.15127969
SAAM-1949.8.2_2	0.70226586	0.7937683
SAAM-1950.2.21_1	0.37362766	0.91563356
SAAM-1913.7.1_2	0.6612023	0.04712391
SAAM-1916.6.49_1	0.29544342	0.17830193
SAAM-1962.13.68_1	0.16482198	0.44231522
SAAM-1967.6.2_1	0.002956152	0.53196394
SAAM-1991.56.134A_1	0.6136615	0.7727877
SAAM-1969.53.2_1	0.61335933	0.13345528
SAAM-1975.76.1_1	0.26210856	0.35104835
SAAM-1985.66.580-U_1	0.71598566	0.8862592
SAAM-1912.7.1_1	0.64797795	0.060388684
SAAM-1911.8.2_1	0.67158735	0.8273963
SAAM-1909.7.81_1-000001	0.96694446	0.47133124
SAAM-1983.95.96_2	0.84355295	0.5265752
SAAM-1962.13.16_1	0.14661026	0.78130853
SAAM-1930.12.39_1	0.7453196	0.58493865
SAAM-1983.95.150_1	0.6805625	0.085273504
SAAM-1977.1.5_1	0.51889825	0.19143307
SAAM-2014.11.3_1	0.2896737	0.6143476
SAAM-1965.18.58_1	0.82663906	0.5354885
SAAM-1983.95.146_1	0.845603	0.22370732
SAAM-1978.10.1_1	0.8752916	0.29273236
SAAM-1962.4.5_1	0.59712124	0.15309727
SAAM-1969.131_1	0.7536994	0.21514165
SAAM-1983.95.66_1	0.7683494	0.21730268
SAAM-1967.7.6_1	0.5421251	0.45829213
SAAM-1913.6.2_1	0.9063642	0.5323323
SAAM-1971.443A_1	0.6152477	0.16474926
SAAM-1985.66.382_1	0.78195953	0.778504
SAAM-1930.12.31_1	0.88703966	0.5692085
SAAM-1974.69.3_1	0.41810942	0.07421112
SAAM-1911.4.1_2-000001	0.86725867	0.4247681
SAAM-1968.111_1	0.88012207	0.39816463
SAAM-1950.2.6_1	0.5701159	0.34196508
SAAM-1962.13.72_1	0.15740478	0.67536676
SAAM-1991.56.127_1	0.52547646	0.61201775
SAAM-1983.95.174_1	0.8916099	0.124836564
SAAM-1985.66.326803_1	0.8492545	0.71151745
SAAM-1929.6.108_1	0.41217208	0.07907081
SAAM-1983.95.210_2	0.9564173	0.46877968
SAAM-1950.2.27A_1	0.39976776	0.90080297
SAAM-1994.120_1	0.60305333	0.19598019
SAAM-1965.33.1_1	0.36622345	0.17370641
SAAM-1952.13.104_1	0.34222543	0.377643
SAAM-1930.12.55_1	0.796692	0.06339979
SAAM-1991.56.193_1	0.49153876	0.66678655
SAAM-1983.95.98_1	0.7025908	0.19830477
SAAM-1983.90.218_1	0.40352952	0.4291855
SAAM-1913.11.2_1	0.17556858	0.5766636
SAAM-1974.69.16_1	0.37635744	0.1355846
SAAM-1967.7.5_1	0.51715446	0.43320835
SAAM-1966.50_1	0.7306969	0.40153468
