id	unitCode	title	media_count	media_id	topics	object_type	medium	artist	date
edanmdm-saam_1882.1.2	SAAM	The Wrestlers	1.0	SAAM-1882.1.2_1	Sport|Literature|Shakespeare|Occupations|Wrestling	Sculpture	painted plaster	John Rogers, born Salem, MA 1829-died New Canaan, CT 1904	modeled 1881
edanmdm-saam_1968.123.18	SAAM	Tyranny			Injustice|Figure female|Government|Figure group|Allegory	Drawing	photomounted drawing	H. Lyman Saÿen, born Philadelphia, PA 1875-died Philadelphia, PA 1918	ca. 1900
edanmdm-saam_1988.6	SAAM	Figure with Guitar II	1.0	SAAM-1988.6_1	Musical instruments|Guitar|Art, abstract|Art|Music	Painting	oil on canvas	Henry Fitch Taylor, born Cincinnati, OH 1853-died Plainfield, NH 1925	1914
edanmdm-saam_1929.6.162	SAAM	Standing Woman	1.0	SAAM-1929.6.162_1	Figure female	Painting	oil on canvas		n.d.
edanmdm-saam_1986.92.95	SAAM	Untitled	1.0	SAAM-1986.92.95_1	Art, abstract|Art	Painting	oil on canvas	Rupert D. Turnbull, born East Orange, NJ 1899-died 1943	1938
edanmdm-saam_1966.48.51B	SAAM	The Brick Meeting Looking South, St. Paul's in the Distance, 1800	1.0	SAAM-1966.48.51B_1	Animals|Figure group|Horses	Graphic Arts-Print	lithograph	John A. Rolph, born Essex, England 1799-died Brooklyn, NY 1862	n.d.
edanmdm-saam_1969.192.13	SAAM	Madonna			Mary, Blessed Virgin, Saint|Religion|Bible, N.T.|Jesus Christ	Painting	oil on paper mounted on wood	Unidentified	19th century
edanmdm-saam_1929.7.34	SAAM	Maria Antoinetta, Queen of France	1.0	SAAM-1929.7.34_1	Women|Portraits	Graphic Arts-Print	line engraving	Unidentified (British)	n.d.
edanmdm-saam_XX98K	SAAM	Portrait of a Lady			Women|Portraits	Painting	oil on wood	Unidentified (European)	ca. 1890-1900
edanmdm-saam_1966.48.44	SAAM	Sleighing in Broadway				Graphic Arts-Print	hand-colored engraving	Unidentified	n.d.
edanmdm-saam_1929.6.153	SAAM	Virgin and Child	1.0	SAAM-1929.6.153_1	Mary, Blessed Virgin, Saint|Religion|Bible, N.T.|Jesus Christ	Painting	watercolor on glass	Unidentified (Italian?)	16th century
edanmdm-saam_1978.108.11	SAAM	(Illustration for Rubáiyát of Omar Khayyám) The Blowing Rose	1.0	SAAM-1978.108.11_2	Vanity|Literature|Figure female|Khayyam, Omar|Allegory|Plants|Fragment|Landscapes|Roses|Quality|Life|Skull|Rubaiyat	Drawing	chalk, pencil, ink and watercolor on paper	Elihu Vedder, born New York City 1836-died Rome, Italy 1923	1883-1884
edanmdm-saam_1970.355.50	SAAM	Grass Nut (Brodiaea laxa)	1.0	SAAM-1970.355.50_2	Brodiaea laxa|Botanical study|Grass nut	Painting	watercolor on paper	Mary Vaux Walcott, born Philadelphia, PA 1860-died St. Andrews, New Brunswick, Canada 1940	1933
edanmdm-saam_1970.355.183	SAAM	Shadbush (Amelianchier oblongifolia)	1.0	SAAM-1970.355.183_2	Amelianchier oblongifolia|Botanical study|Shadbush	Painting	watercolor on paper	Mary Vaux Walcott, born Philadelphia, PA 1860-died St. Andrews, New Brunswick, Canada 1940	1919
edanmdm-saam_1970.355.145	SAAM	White Dryad (Dryas octopetala)	1.0	SAAM-1970.355.145_2	White dryad|Dryas octopetala|Botanical study	Painting	watercolor on paper	Mary Vaux Walcott, born Philadelphia, PA 1860-died St. Andrews, New Brunswick, Canada 1940	1902
edanmdm-saam_1973.130.47	SAAM	Statue of Oya Jizo	1.0	SAAM-1973.130.47_1	Mountains|Trees|Pine tree|Foreign|Landscapes|Orient|Oya Jizo|Monuments|Statues	Graphic Arts-Mechanical Reproduction	photomechanical wood engraving on paper	Henry Wolf, born Eckwersheim, Alsace 1852-died New York City 1916	1890
edanmdm-saam_1956.6.2	SAAM	Fan	1.0	SAAM-1956.6.2_1	Animals|Sport and play|Recreation|Swinging|Dogs|Figure group|Male and female	Decorative Arts	paper; mother of pearl	Unidentified (French)	1860-1870
edanmdm-saam_1956.6.20	SAAM	Fan	1.0	SAAM-1956.6.20_1	Rites and ceremonies|Wedding dress|Wedding|Monuments|Clothing and dress|Figure group|Statues|Male and female	Decorative Arts	ivory	Unidentified (French)	1850-1870
edanmdm-saam_1929.8.318	SAAM	Plaque	1.0	SAAM-1929.8.318_1		Decorative Arts	enamel and metal	Francois Picot, Swiss, born Geneva, Switzerland 1698-died after 1762	1723
edanmdm-saam_1956.6.A-10	SAAM	Fan	1.0	SAAM-1956.6.A-10_1		Decorative Arts	fabric: lace; mother of pearl; fabric; ivory	Unidentified	1890-1910
edanmdm-saam_1929.8.147.32	SAAM	Flask	1.0	SAAM-1929.8.147.32_1		Decorative Arts-Glass	glass	Unidentified	
edanmdm-saam_1929.8.174.26	SAAM	Bowl	1.0	SAAM-1929.8.174.26_1		Decorative Arts-Glass	glass	Unidentified	
edanmdm-saam_1929.8.246.10	SAAM	Cutlery	1.0	SAAM-1929.8.246.1-.24_1		Decorative Arts	enamel and metal	George W. Adams, English, n.d.	
edanmdm-saam_1929.8.467.3	SAAM	Cordial Glass	1.0	SAAM-1929.8.467.3_1		Decorative Arts-Glass	polychromed glass	Emile Gallé, French, born Nancy, France 1846-died 1904	1850-1904
edanmdm-saam_1986.65.70	SAAM	Dome-Top Box with Straw Marquetry	1.0	SAAM-1986.65.70_1	Architecture|Domestic|Containers|Dwellings	Folk Art	painted wood, straw, paper, and brass	Unidentified	ca. 1800-1850
edanmdm-saam_1992.13.2	SAAM	Sausalito	1.0	SAAM-1992.13.2_1	Mountains|Landscapes|Harbors|Sausalito|Waterscapes	Graphic Arts-Print	etching on paper	Helen Hyde, born Lima, NY 1868-died Pasadena, CA 1919	ca. 1896-1898
edanmdm-saam_1992.13.116	SAAM	The Joggling Board	1.0	SAAM-1992.13.116_1	Ethnicity|Sport and play|Porch|Architecture|Recreation|Domestic|Children|Detail|Dwellings	Graphic Arts-Print	drypoint and etching on paper	Helen Hyde, born Lima, NY 1868-died Pasadena, CA 1919	1918
edanmdm-saam_1994.91.184	SAAM	Two Men in Doorway, with Tools	1.0	SAAM-1994.91.184_1	Hammer|Architecture|Occupations|Men|Figure group|Tools|Crafts|Detail	Photography-Photoprint	platinum print	Doris Ulmann, born New York City 1882-died New York City 1934	ca. 1930
edanmdm-saam_1991.56.33	SAAM	Druse	1.0	SAAM-1991.56.33_1	Landscapes|Figure group|Religion	Drawing	pencil on paper	Miner Kilbourne Kellogg, born Manlius Square, NY 1814-died Toledo, OH 1889	n.d.
edanmdm-saam_1994.91.144.10R	SAAM	The Stone Cottage, from the album Views of Charlestown, New Hampshire	1.0	SAAM-1994.91.144.10R_1	Landscapes|Stone Cottage|Architecture|Domestic|Fence|Charlestown|Detail|Dwellings	Photography-Photoprint	albumen silver print	Pach Brothers, founded ca. 1866	1888
edanmdm-saam_1996.63.26	SAAM	Picnicking in the Woods, from Harper's Weekly, September 4, 1858	1.0	SAAM-1996.63.26_1	Landscapes|Literature|Picnic|Recreation|Figure group|Forests and forestry|Harper's Weekly	Graphic Arts-Print	wood engraving on paper	Winslow Homer, born Boston, MA 1836-died Prout's Neck, ME 1910	1858
edanmdm-saam_1996.63.54	SAAM	Great Sumter Meeting in Union Square, New York, April 11, from Harper's Weekly, April 25, 1863	1.0	SAAM-1996.63.54_1	Literature|Civil War, 1861-1865|American Civil War (1861-1865)|Figure group|Union Square|Cityscapes|Flags|History|Streets|Harper's Weekly	Graphic Arts-Print	wood engraving on paper		1863
edanmdm-saam_1996.63.101	SAAM	Flirting on the Sea-Shore and on the Meadow, from Harper's Weekly, September 19, 1874	1.0	SAAM-1996.63.101_1	Meadow|Landscapes|Literature|Figure group|Beaches|Male and female|Figure(s) in exterior|Harper's Weekly	Graphic Arts-Print	wood engraving on paper	Winslow Homer, born Boston, MA 1836-died Prout's Neck, ME 1910	1874
edanmdm-saam_1948.8.5A-O	SAAM	Thomas Moran's Box of Palettes and Brushes	1.0	SAAM-1948.8.5A-O_1	Palette|Art|Painters|Occupations|Artist's brush|Art tool	Other	wood and hair	Unidentified	
edanmdm-saam_2010.7.2	SAAM	Sentinel Rock, Echo Canyon, Utah	1.0	SAAM-2010.7.2_1	Landscapes|Canyon|Rock formation	Photography-Photoprint	albumen silver print	Unidentified	ca. 1875
edanmdm-saam_1983.83.117	SAAM	Old Bridge over Mosel, Coblenz	1.0	SAAM-1983.83.117_1	Bridges|Landscapes|Art|Mosel River|Architecture|Figure group|Coblenz|Cityscapes|Rivers	Drawing	pencil on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1900
edanmdm-saam_1983.83.149	SAAM	Venice	1.0	SAAM-1983.83.149_1	Landscapes	Drawing	pencil on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1900
edanmdm-saam_1973.14.1	SAAM	Civitella, Italy	1.0	SAAM-1973.14.1_1	Mountains|Landscapes|Civitella|Rocks	Drawing	pencil on paper	Johann Hermann Carmiencke, born Hamburg, Germany 1810-died Brooklyn, NY 1867	1845
